title,url,published,description
"Class 4 Medicines Defect Information, Diazepam 2mg/5ml Oral Solution Sugar Free (EL (21)A/07) (PL 0142/0103)",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-diazepam-2mg-slash-5ml-oral-solution-sugar-free-el-21-a-slash-07-pl-0142-slash-0103,2021-03-09,Accord-UK Ltd have informed us that important safety warnings for the excipient Propylene glycol are missing from the patient information leaflet (PIL).
MHRA cracking down on organised crime worth £200m,https://www.gov.uk/government/news/mhra-cracking-down-on-organised-crime-worth-200m,2018-01-30,MHRA continue to investigate the diversion of prescription only medicines from the regulated supply chain.
"Class 2 Medicines recall: Accord Healthcare Limited - Losartan Potassium 50mg Film-coated Tablets, PL 20075/0022 and Losartan Potassium 100mg Film-coated Tablets, PL 20075/0023",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-accord-healthcare-limited-losartan-potassium-50mg-film-coated-tablets-pl-20075-0022-and-losartan-potassium-100mg-film-coated-tablets-pl-20075-0023,2019-03-21,"Further to previous recalls of Valsartan and Irbesartan containing products, which were potentially contaminated with N-nitrosodimethylamine (NDMA) or N-nitrosodiethylamine (NDEA), we have become aware of products containing Losartan Potassium that are contaminated with a different nitrosamine, N-nitroso-N-methylamino butyric acid (NMBA). 

Losartan Potassium containing products from Accord Healthcare Limited are affected and the batches listed above are being recalled."
"Class 2 Medicines Recall: Macleods Pharma UK Limited - Irbesartan 150mg Film-coated tablets, PL 34771/0079 (MDR 94-06/18)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-macleods-pharma-uk-limited-irbesartan-150mg-film-coated-tablets-pl-34771-0079-mdr-94-06-18,2019-01-24,Macleods Pharma UK Limited is recalling the below batches from pharmacies as a precautionary measure due to possible contamination with N‑nitrosodiethylamine (NDEA).
Class 2 Medicines Recall: Actavis Group PTC EHF - recall of batches of Irbesartan/Hydrochlorothiazide 300/12.5mg Film-coated Tablets and Irbesartan/Hydrochlorothiazide 150/12.5mg Film-coated Tablets,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-actavis-group-ptc-ehf-recall-of-batches-of-irbesartan-hydrochlorothiazide-300-12-5mg-film-coated-tablets-and-irbesartan-hydrochlorothiazide-150-12-5mg-film-coated-tablets,2019-01-03,Actavis Group PTC EHF is recalling the below batches from pharmacies as a precautionary measure due to possible contamination with N‑nitrosodiethylamine (NDEA).
Letters and drug alerts sent to healthcare professionals in April 2020,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-april-2020,2020-05-21,A summary of letters and drug alerts recently sent to healthcare professionals.
Letters and drug alerts sent to healthcare professionals in March 2019,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-march-2019,2019-04-16,"Letters were sent about Xeljanz▼ (tofacitinib), ranitidine, Nulojix (belatacept), fluoroquinolone antibiotics, Genvoya▼, Stribild▼, Tybost, and belimumab (Benlysta▼). Drug alerts were issued about Accord losartan potassium containing products and Ozurdex implants. 
"
Letters sent to healthcare professionals in September 2017,https://www.gov.uk/drug-safety-update/letters-sent-to-healthcare-professionals-in-september-2017,2017-10-26,"Letters were sent in September about Dacogen (decitabine), Eperzan▼(albiglutide), ERWINASE, ReoPro (abciximab), and recombinant human erythropoietins."
Letters and drug alerts sent to healthcare professionals in February 2019,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-february-2019,2019-03-21,"Letters were sent about Vyxeos (cytarabine, daunorubicin) and Ozurdex 700 micrograms intravitreal implant (dexamethasone). Alerts were issued about irbesartan, amoxicillin, atropine sulfate, and paracetamol infusion."
Letters and medicine recalls sent to healthcare professionals in May 2022,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-may-2022,2022-06-20,A summary of recent letters and notifications sent to healthcare professionals about medicines and medical devices
The Northern Ireland MHRA Authorised Route (NIMAR),https://www.gov.uk/government/publications/the-northern-ireland-mhra-authorised-route-nimar,2025-05-09,The UK government has introduced the Northern Ireland MHRA Authorised Route (NIMAR). This new route for supply became operational 1 January 2022. 
Letters and drug alerts sent to healthcare professionals in May 2020,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-may-2020,2020-06-29,"A summary of letters and drug alerts recently sent to healthcare professionals.
"
Letters and medicine recalls sent to healthcare professionals in August 2023,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-august-2023,2023-09-26,"A summary of recent letters and notifications sent to healthcare professionals about medicines, and a recent National Patient Safety Alert highlighting the risk of deaths and serious injuries from entrapment or falls relating to medical beds, bed rails, trolleys, bariatric beds, lateral turning devices and bed grab handles."
Ranitidine – MHRA drug alerts issued as Perrigo recalls prescription only and over-the-counter products,https://www.gov.uk/government/news/ranitidine-mhra-drug-alerts-issued-as-perrigo-recalls-prescription-only-and-over-the-counter-products,2019-10-25,"The MHRA has issued alerts to healthcare professionals and retailers, as Perrigo Company plc is recalling all unexpired stock of certain batches of Ranitidine medicines used to treat conditions such as heartburn and stomach ulcers."
Letters sent to healthcare professionals in May 2018,https://www.gov.uk/drug-safety-update/letters-sent-to-healthcare-professionals-in-may-2018,2018-06-22,"Letters were sent about azithromycin, Lynparza▼(Olaparib), Xgeva▼ (denosumab), Lymphoseek (tilmanocept), ReoPro (abciximab) and dolutegravir; you still have time to complete a quick survey to tell us your views on the way medicines safety issues are communicated. "
Letters and medicine recalls sent to healthcare professionals in March 2023 ,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-march-2023,2023-04-26,A summary of recent letters and notifications sent to healthcare professionals about medicines. 
Notification of intent to import an unlicensed medicinal product,https://www.gov.uk/government/publications/notification-of-intent-to-import-an-unlicensed-medicinal-product,2025-01-29,How to submit a notification of intent to import an unlicensed medicine to the MHRA.
Letters and medicine recalls sent to healthcare professionals in May 2023,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-may-2023,2023-06-27,"A summary of recent letters and notifications sent to healthcare professionals about medicines and medical devices and details of two recent MHRA National Patient Safety Alerts to remove from service Philips Health Systems V60 and V60 Plus ventilators and to recall Emerade adrenaline auto-injectors from patients, pharmacies and wholesalers. "
Ozempic▼(semaglutide) and Saxenda (liraglutide): vigilance required due to potentially harmful falsified products  ,https://www.gov.uk/drug-safety-update/ozempicv-semaglutide-and-saxenda-liraglutide-vigilance-required-due-to-potentially-harmful-falsified-products,2023-11-23,"Falsified, potentially harmful Ozempic▼ and Saxenda products have been found in the UK. "
Letters and drug alerts sent to healthcare professionals in May 2019,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-may-2019,2019-06-19,"Letters were sent about tofacitinib (Xeljanz▼), Trisenox (arsenic trioxide), lapatinib (Tyverb), direct-acting oral anticoagulants, and Lartruvo▼ (olaratumab). Alerts were issued about Epanutin (phenytoin) oral solution, Macopharma intravenous infusion bags, and Co-amoxiclav (amoxicillin/clavulanic acid)."
"Class 2 Medicines Recall: Synalar GEL 30g, Synalar GEL 60g,(fluocinolone acetonide 0.025%) Reig Jofre UK,EL(25)A/16",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-synalar-gel-30g-synalar-gel-60g-fluocinoline-acetonide-0-dot-025-percent-reig-jofre-uk-el-25-a-slash-16,2025-04-08,It has been identified that the batches of Synalar Gel 30g and 60g listed in this notification contain a residual solvent (benzene) at a level exceeding the ICH limit of 2ppm. Reig Jofre UK are recalling the batches as a precautionary measure. This recall is at the pharmacy and wholesaler level.
Letters and drug alerts sent to healthcare professionals in June 2019,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-june-2019,2019-07-17,"Letters were sent about Myocrisin (sodium aurothiomalate), Cerliponase alfa (Brineura▼), Darzalex▼(daratumumab), retinoids▼, and febuxostat (Adenuric). A recall alert was issued for medicines that were taken out of the regulated medicines supply chain during distribution. Other alerts were issued about paracetamol tablets,  docetaxel injection, Baxter potassium-chloride-containing intravenous infusions, and Emerade adrenaline auto-injectors. "
Letters and drug alerts sent to healthcare professionals in October 2018,https://www.gov.uk/drug-safety-update/letters-and-drug-alerts-sent-to-healthcare-professionals-in-october-2018,2018-11-14,"Letters were sent to healthcare professionals about Jext adrenaline autoinjectors, rivaroxaban, Ozurdex 700 micrograms intravitreal implant, sildenafil, hydrochlorothiazide, and Epilim Chronosphere (sodium valproate). We also highlight alerts sent about adrenaline autoinjector and Epanutin (phenytoin) supply disruption and a recall notice for Ozurdex 700 micrograms intravitreal implants."
"Class 2 Medicines Recall: Bristol Laboratories Limited, Brown & Burk UK Ltd, Teva UK Ltd, Irbesartan-containing and Losartan-containing products, EL (21)A/14",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-bristol-laboratories-limited-brown-and-burk-uk-ltd-teva-uk-ltd-irbesartan-containing-and-losartan-containing-products-el-21-a-slash-14,2021-06-17,"Specific batches of products supplied by Bristol Laboratories Limited, Brown & Burk UK Limited and Teva UK Limited are being recalled due to presence of a mutagenic impurity."
"Class 4 Medicines Defect Information: Kyowa Kirin Limited, Tostran (Testosterone, 2% gel), EL (23)A/33",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-kyowa-kirin-limited-tostran-testosterone-2-percent-gel-el-23-a-slash-33,2023-08-31,Kyowa Kirin Limited has notified MHRA that the priming instructions in the current PIL for Tostran 2% gel require updating.
"Class 2 Medicines Recall: Various Marketing Authorisation Holders and parallel distributor companies, Irbesartan-containing products, EL (21)A/19",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-various-marketing-authorisation-holders-and-parallel-distributor-companies-irbesartan-containing-products-el-21-a-slash-19,2021-08-09,Specific batches of products supplied by the Marketing Authorisation Holders and parallel distributor companies are being recalled due to presence of a mutagenic impurity.
Class 2 Medicines Recall: Teva UK Limited and Mylan - recall of some Valsartan containing products ,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-teva-uk-limited-and-mylan-recall-of-some-valsartan-containing-products,2018-11-30,Some valsartan containing products including certain batches supplied by Teva UK Limited and all unexpired batches supplied by Mylan are being recalled.
MHRA performance data for assessment of clinical trials and established medicines,https://www.gov.uk/government/publications/mhra-performance-data-for-assessment-of-clinical-trials-and-established-medicines,2025-02-14,MHRA performance metrics for clinical trials and established medicines assessment.
"Class 2 Medicines recall: Emerade 150, 300 and 500 microgram solution for injection in pre-filled syringe (EL(19)A/39)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-emerade-150-300-and-500-microgram-solution-for-injection-in-pre-filled-syringe-mdr-57-08-19,2019-11-28,Pharmaswiss Česka republika s.r.o. (an affiliate of Bausch & Lomb UK Limited) is recalling all unexpired batches of Emerede Adrenaline Autoinjectors after identifying an error than can cause some pens to fail to activate.
"Class 2 Medicines Recall: Various Marketing Authorisation Holders and parallel distributor companies, Irbesartan-containing products, EL(21)A/34",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-various-marketing-authorisation-holders-and-parallel-distributor-companies-irbesartan-containing-products-el-21-a-slash-34,2021-12-01,Specific batches of products supplied by Marketing Authorisation Holders and parallel distributor companies are being recalled due to presence of a mutagenic impurity.
Defect with Epilim/ sodium valproate gastro-resistant tablets - some batches have an odour ,https://www.gov.uk/drug-device-alerts/defect-with-epilim-sodium-valproate-gastro-resistant-tablets-some-batches-have-an-odour,2015-03-30,"(Aventis Pharma Limited and Winthrop Pharmaceuticals UK Limited) The smell associated with some batches is said to be a result of the foil packaging, but patients should continue taking their medicine. (EL (15)A/02)"
Guidance for 'specials' manufacturers,https://www.gov.uk/government/publications/guidance-for-specials-manufacturers,2021-02-25,An interpretation of the good manufacturing practice (GMP) requirements for specials manufacturers.
MHRA Safety Roundup: June 2025,https://www.gov.uk/drug-device-alerts/mhra-safety-roundup-june-2025,2025-06-24,Summary of the latest safety advice for medicines and medical device users
MHRA Public consultation on the proposal to make Codeine Linctus available as a prescription-only medicine (POM),https://www.gov.uk/government/consultations/mhra-public-consultation-on-the-proposal-to-make-codeine-linctus-available-as-a-prescription-only-medicine-pom,2024-02-20,The Medicines and Healthcare Products Regulatory Agency (MHRA) have launched a public consultation to propose reclassification of Codeine Linctus to prescription-only medicine.
Lacri-Lube Eye Ointment - small black particles on or around the nozzle of the tube,https://www.gov.uk/drug-device-alerts/lacri-lube-eye-ointment-small-black-particles-on-or-around-the-nozzle-of-the-tube,2015-09-21,(Allergan Limited) Small number of complaints have been received about small black particles found on or around the nozzle of the tube (EL (15)A/08).
Compliance Monitor (CM) Overview and Application Process,https://www.gov.uk/government/publications/compliance-monitor-cm-overview-and-application-process,2022-06-15,summary
Public Assessment Report: Recommendations to support the effective and safe use of adrenaline auto-injectors,https://www.gov.uk/government/publications/public-assessment-report-recommendations-to-support-the-effective-and-safe-use-of-adrenaline-auto-injectors,2021-11-11,This report provides a combined summary of the conclusions and recommendations of the Commission on Human Medicines’ Adrenaline Auto-injector Expert Working Group to support the effective and safe use of Adrenaline Auto-injectors.
International Recognition Procedure,https://www.gov.uk/government/publications/international-recognition-procedure,2026-01-21,How to use the procedure for medicines licensing applications.
Use of UK plasma for the manufacture of albumins and vCJD risk,https://www.gov.uk/government/publications/use-of-uk-plasma-for-the-manufacture-of-albumins-and-vcjd-risk,2023-08-15,The Medicines and Healthcare products Regulatory Agency (MHRA) has undertaken a further review of the safety of albumins manufactured from UK plasma with respect to vCJD.
Critical risk assessment report: use of UK plasma for the manufacture of immunoglobulins and vCJD risk,https://www.gov.uk/government/publications/critical-risk-assessment-report-use-of-uk-plasma-for-the-manufacture-of-immunoglobulins-and-vcjd-risk,2021-04-21,The Commission on Human Medicines (CHM) has concluded that the risk of vCJD cases arising from the use of UK plasma for the manufacture of immunoglobulin medicinal products would be negligible.
Ranitidine – MHRA drug alert issued for Teva UK recall,https://www.gov.uk/government/news/ranitidine-mhra-drug-alert-issued-for-teva-uk-recall,2019-10-17,Teva UK Ltd is recalling unexpired stock of certain batches of 2 types of Ranitidine medicines used to treat conditions such as heartburn and stomach ulcers. 
Original pack dispensing and supply of medicines containing sodium valproate,https://www.gov.uk/government/consultations/original-pack-dispensing-and-supply-of-medicines-containing-sodium-valproate,2023-03-19,"Public consultation on proposals to allow pharmacists to dispense prescription medicines in original packaging, in particular those containing sodium valproate."
Precautionary recall of blood pressure medication after packaging error ,https://www.gov.uk/government/news/precautionary-recall-of-blood-pressure-medication-after-packaging-error,2026-03-06,The MHRA has advised pharmacy and healthcare professionals to return all remaining stock to their suppliers
Import a human medicine,https://www.gov.uk/guidance/import-a-human-medicine,2025-01-29,"Guidance for UK wholesalers and manufacturers on how to import human medicines including unlicensed medicines, how to apply for a licence and how much it costs."
Apply for manufacturer or wholesaler of medicines licences,https://www.gov.uk/guidance/apply-for-manufacturer-or-wholesaler-of-medicines-licences,2025-09-12,"How to apply for, update and cancel licences for the manufacture, import and wholesale of human and veterinary medicines. "
Medicines: reclassify your product,https://www.gov.uk/guidance/medicines-reclassify-your-product,2026-02-27,"Pharmacy (P), prescription-only (POM), and general sale list (GSL) medicines: apply to move your medicine to a different classification."
Supplying authorised medicines to Northern Ireland,https://www.gov.uk/guidance/supplying-authorised-medicines-to-northern-ireland,2025-06-09,What you need to do to supply authorised medicines from Great Britain to Northern Ireland.
Register for the Distance Selling logo,https://www.gov.uk/guidance/register-for-the-distance-selling-logo,2025-10-23,Anyone in Northern Ireland selling medicines to the public via a website must still comply with the requirement to apply the EU common logo.
Supplying investigational medicinal products to Northern Ireland,https://www.gov.uk/guidance/supplying-investigational-medicinal-products-to-northern-ireland,2021-12-22,What you need to do to supply investigational medicinal products (IMPs) from Great Britain to Northern Ireland.
Sourcing medicines for the UK market,https://www.gov.uk/guidance/sourcing-medicines-for-the-great-britain-market-from-an-approved-country-for-import-or-northern-ireland,2024-12-30,Information on sourcing medicines that can be supplied by wholesale distributor authorisation (WDA) holders based in the UK.
Acting as a Responsible Person (import),https://www.gov.uk/guidance/acting-as-a-responsible-person-import,2021-12-22,A wholesale dealer in Great Britain may import Qualified Person certified medicines from the European Economic Area if certain checks are made by the ‘Responsible Person (import)’
MHRA Windsor Framework hub,https://www.gov.uk/government/collections/mhra-windsor-framework,2025-01-31,Information on the main changes introduced by the Windsor Framework.
Importing medicines into Northern Ireland,https://www.gov.uk/guidance/importing-medicines-into-northern-ireland,2022-03-16,Industry must notify the MHRA if they will not be using these flexibilities
Advertise your medicines,https://www.gov.uk/guidance/advertise-your-medicines,2025-04-11,"How to comply with the requirements on promoting medicines to the public and to prescribers and suppliers of medicines
"
Early Access to Medicines Scheme - Information for Applicants,https://www.gov.uk/guidance/apply-for-the-early-access-to-medicines-scheme-eams,2025-04-01,"Guidance for Applicants wishing to apply for a Promising Innovative Medicines designation, pre-submission meeting or an EAMS Scientific Opinion."
Decentralised Manufacture: UK Guideline of Good Pharmacovigilance Practices,https://www.gov.uk/guidance/decentralised-manufacture-uk-guideline-of-good-pharmacovigilance-practices,2025-06-10,Guidance covering various aspects of pharmacovigilance for authorised and unauthorised medicinal products (Specials and the Early Access to Medicines Scheme (EAMS)). 
Decentralised Manufacture: Labelling,https://www.gov.uk/guidance/decentralised-manufacture-labelling,2025-06-10,"Guidance on labelling requirements pertinent to the type of medicinal product and its supply status, as defined in UK legislation."
Borderline products: how to tell if your product is a medicine,https://www.gov.uk/guidance/borderline-products-how-to-tell-if-your-product-is-a-medicine,2026-01-12,How the MHRA makes decisions on what is a medicinal product (borderline products).
Decentralised Manufacture: The designation step,https://www.gov.uk/guidance/decentralised-manufacture-the-designation-step,2025-06-09,MHRA’s mechanism for evaluating the justifications supplied by applicant organisations who plan to utilise decentralised manufacture.
Regulatory status of equipment being used to help prevent coronavirus (COVID-19),https://www.gov.uk/guidance/regulatory-status-of-equipment-being-used-to-help-prevent-coronavirus-covid-19,2023-07-01,There are different regulations which apply to devices and equipment including hand gels and PPE (personal protective equipment) 
Types of application for marketing authorisations (legal basis of applications),https://www.gov.uk/guidance/types-of-application-legal-basis,2025-06-30,You must include the appropriate legal basis for your application when you apply to MHRA for a marketing authorisation. 
Medicines: good manufacturing practice and good distribution practice,https://www.gov.uk/guidance/good-manufacturing-practice-and-good-distribution-practice,2024-05-13,"Comply with good manufacturing practice (GMP) and good distribution practice (GDP), and prepare for an inspection."
"Medicines: Marketing Authorisation Holders' submission of Nitrosamine risk evaluation, risk assessment and confirmatory testing",https://www.gov.uk/guidance/medicines-marketing-authorisation-holders-submission-of-nitrosamine-risk-evaluation,2026-02-25,Marketing Authorisation Holders should review their manufacturing processes to mitigate the risk of nitrosamine impurities being present.
MHRA guidance on coronavirus (COVID-19),https://www.gov.uk/government/collections/mhra-guidance-on-coronavirus-covid-19,2022-06-24,"We are producing guidance and information for industry, healthcare professionals and patients covering the coronavirus (COVID-19) outbreak."
Sunset clause: request for public health exemption,https://www.gov.uk/government/publications/sunset-clause-request-for-public-health-exemption,2023-07-06,Apply for a public health exemption from the sunset clause.
EU guidance documents referred to in the Human Medicines Regulations 2012,https://www.gov.uk/guidance/eu-guidance-documents-referred-to-in-the-human-medicines-regulations-2012,2020-12-30,"Links to EU guidance, as it stood immediately before end of transition period."
Clinical trials for medicines: good manufacturing practice and radiopharmaceutical investigational medicinal products,https://www.gov.uk/guidance/clinical-trials-for-medicines-good-manufacturing-practice-and-radiopharmaceutical-investigational-medicinal-products,2026-03-09,Guidance on good manufacturing practice and the use of radiopharmaceutical investigational medicinal products in clinical trials. 
MHRA Windsor Framework Video Explainers,https://www.gov.uk/guidance/mhra-windsor-framework-video-explainers,2024-11-20,Video series explaining the main changes introduced by the Windsor Framework on the supply of medicines in Northern Ireland.
MHRA Windsor Framework Webinar Recordings,https://www.gov.uk/guidance/mhra-windsor-framework-webinar-recordings,2024-11-20,Industry webinars on the main changes introduced by the Windsor Framework on the supply of medicines in Northern Ireland.
Medicines: apply for a parallel import licence,https://www.gov.uk/guidance/medicines-apply-for-a-parallel-import-licence,2025-09-02,"How to get a parallel import licence for your medicine in the UK, including pharmacovigilance requirements and submitting your application. "
Apply for a traditional herbal registration (THR),https://www.gov.uk/guidance/apply-for-a-traditional-herbal-registration-thr,2024-01-05,How to apply for a traditional herbal registration (THR) to market a herbal medicine in the UK. 
Decentralised manufacture: UK Guideline on Good Manufacturing Practice (GMP),https://www.gov.uk/guidance/decentralised-manufacture-uk-guideline-on-good-manufacturing-practice-gmp,2025-06-09,"UK guideline on GMP for decentralised manufacturing, ensuring compliance with EU GMP principles for safe, quality medicinal products."
Consultation on the future regulation of medical devices in the United Kingdom,https://www.gov.uk/government/consultations/consultation-on-the-future-regulation-of-medical-devices-in-the-united-kingdom,2022-06-25,"We're looking for your views on how medical devices will be regulated across the United Kingdom (UK) in the future.
"
"Medicines: packaging, labelling and patient information leaflets",https://www.gov.uk/guidance/medicines-packaging-labelling-and-patient-information-leaflets,2024-03-07,How to package medicines for sale and what information you must provide to consumers and healthcare professionals.
Advanced therapy medicinal products: regulation and licensing in UK,https://www.gov.uk/guidance/advanced-therapy-medicinal-products-regulation-and-licensing,2025-03-06,How to get a marketing authorisation (MA) for an advanced therapy medicinal product (ATMP) so it can be sold and/or supplied in the United Kingdom.
Medicines Pipeline data,https://www.gov.uk/guidance/medicines-pipeline-data,2024-10-25,"Details of how Marketing Authorisation Holders can provide information on planned or potential future submissions, to the MHRA."
Exceptional GMP flexibilities for medicines manufacturers during the coronavirus (COVID-19) outbreak,https://www.gov.uk/guidance/exceptional-gmp-flexibilities-for-medicines-manufacturers-during-the-coronavirus-covid-19-outbreak,2020-07-13,These temporary good manufacturing practice (GMP) flexibilities will be allowed to address the current exceptional circumstances
Decentralised manufacture hub,https://www.gov.uk/government/collections/decentralised-manufacture-hub,2025-09-15,"Information on the new regulations for decentralised manufacture, including point of care and modular manufacture, which come into effect 23 July 2025."
Exceptional good distribution practice (GDP) flexibilities for medicines during the coronavirus (COVID-19) outbreak,https://www.gov.uk/guidance/exceptional-good-distribution-practice-gdp-flexibilities-for-medicines-during-the-coronavirus-covid-19-outbreak,2020-04-01,Guidance for industry on flexible approaches we are taking on good distribution practices.
